ID,Rank1,Rank2,Rank3,Rank4,Rank5,Decision
ABBV,0.1694,0.236,0.1942,0.2378,0.1626,0.01045
ACN,0.2682,0.174,0.1228,0.1764,0.2586,0.00394
AEP,0.1152,0.2714,0.2242,0.2766,0.1126,0.00604
AIZ,0.1642,0.2474,0.1866,0.2444,0.1574,0.01877
ALLE,0.217,0.1978,0.1652,0.2006,0.2194,0.0081
AMAT,0.3482,0.1186,0.071,0.113,0.3492,0.0
AMP,0.2496,0.1852,0.1258,0.1972,0.2422,0.01027
AMZN,0.288,0.1686,0.1096,0.1634,0.2704,0.00661
AVB,0.1772,0.2346,0.1768,0.239,0.1724,0.00582
AVY,0.267,0.1682,0.126,0.1778,0.261,0.0069
AXP,0.2936,0.1476,0.1126,0.1536,0.2926,0.00397
BDX,0.1892,0.2268,0.165,0.2232,0.1958,0.00733
BF-B,0.1904,0.2146,0.1672,0.2304,0.1974,0.00514
BMY,0.1744,0.2342,0.1836,0.2314,0.1764,0.00788
BR,0.2542,0.1748,0.1268,0.2028,0.2414,0.00547
CARR,0.2588,0.1756,0.1246,0.1848,0.2562,0.00769
CDW,0.2402,0.1884,0.1318,0.1872,0.2524,0.00774
CE,0.2344,0.1974,0.1348,0.1904,0.243,0.00532
CHTR,0.251,0.1814,0.128,0.1774,0.2622,0.00387
CNC,0.2622,0.1744,0.1124,0.166,0.285,0.00178
CNP,0.1524,0.2514,0.1904,0.258,0.1478,0.00671
COP,0.2964,0.1494,0.1074,0.1504,0.2964,0.00067
CTAS,0.2314,0.193,0.1514,0.193,0.2312,0.00766
CZR,0.3744,0.1046,0.0682,0.0934,0.3594,0.00069
DG,0.2272,0.1936,0.1504,0.2094,0.2194,0.00964
DPZ,0.2904,0.1584,0.1092,0.1636,0.2784,0.006
DRE,0.1872,0.2218,0.1686,0.2316,0.1908,0.00608
DXC,0.3428,0.102,0.081,0.1082,0.366,0.00281
FB,0.4078,0.0718,0.0466,0.0732,0.4006,0.0
FTV,0.2668,0.179,0.114,0.1712,0.269,0.00659
GOOG,0.2676,0.1864,0.1146,0.1758,0.2556,0.00347
GPC,0.216,0.2088,0.16,0.198,0.2172,0.01045
HIG,0.2064,0.2126,0.1646,0.2174,0.199,0.01363
HST,0.2872,0.1606,0.1098,0.159,0.2834,0.00533
JPM,0.2362,0.1974,0.1368,0.196,0.2336,0.00522
KR,0.315,0.1418,0.094,0.143,0.3062,0.00451
OGN,0.2866,0.156,0.116,0.1548,0.2866,0.0053
PG,0.126,0.2576,0.2174,0.2754,0.1236,0.0099
PPL,0.0756,0.2792,0.2832,0.2894,0.0726,0.0111
PRU,0.238,0.195,0.1408,0.1894,0.2368,0.01291
PYPL,0.3966,0.0742,0.0492,0.0792,0.4008,0.00185
RE,0.2032,0.218,0.1578,0.2118,0.2092,0.00864
ROL,0.2786,0.1688,0.1134,0.1574,0.2818,0.00615
ROST,0.2704,0.1648,0.122,0.162,0.2808,0.00641
UNH,0.1892,0.216,0.1678,0.2344,0.1926,0.00869
URI,0.3056,0.1458,0.0946,0.1446,0.3094,0.00317
V,0.2898,0.153,0.1044,0.16,0.2928,0.00705
VRSK,0.216,0.2096,0.1536,0.2078,0.213,0.00782
WRK,0.2722,0.178,0.1176,0.165,0.2672,0.00639
XOM,0.2726,0.1674,0.1188,0.1714,0.2698,0.00859
IVV,0.1272,0.2634,0.2256,0.2588,0.125,0.01709
IWM,0.2304,0.1972,0.1456,0.2036,0.2232,0.01398
EWU,0.1004,0.2714,0.2536,0.2676,0.107,0.0158
EWG,0.1098,0.274,0.2296,0.2718,0.1148,0.01282
EWL,0.1048,0.2786,0.2436,0.2686,0.1044,0.01234
EWQ,0.129,0.2606,0.2238,0.2524,0.1342,0.01008
IEUS,0.1522,0.2416,0.2082,0.247,0.151,0.00933
EWJ,0.1218,0.2658,0.2262,0.2572,0.129,0.01385
EWT,0.1898,0.2164,0.176,0.2336,0.1842,0.00926
MCHI,0.2418,0.1858,0.132,0.1914,0.249,0.0066
INDA,0.1904,0.2244,0.1632,0.229,0.193,0.00761
EWY,0.2104,0.2114,0.151,0.2076,0.2196,0.00499
EWA,0.1636,0.2414,0.1908,0.245,0.1592,0.01314
EWH,0.1122,0.2678,0.2344,0.2646,0.121,0.02375
EWZ,0.2816,0.1636,0.1022,0.159,0.2936,0.00778
EWC,0.1536,0.245,0.1954,0.2534,0.1526,0.01521
IEMG,0.1534,0.2428,0.199,0.255,0.1498,0.0148
LQD,0.004,0.2596,0.4874,0.2472,0.0018,0.02118
HYG,0.0004,0.1794,0.6584,0.1616,0.0002,0.05039
SHY,0.0,0.0,1.0,0.0,0.0,0.05382
IEF,0.0008,0.2344,0.552,0.2122,0.0006,0.00635
TLT,0.1132,0.2706,0.2428,0.2692,0.1042,0.00258
SEGA.L,0.0,0.1806,0.6584,0.1608,0.0002,0.0232
IEAA.L,0.0,0.0712,0.872,0.0568,0.0,0.02555
HIGH.L,0.0,0.1396,0.7292,0.1312,0.0,0.02872
JPEA.L,0.004,0.2588,0.4832,0.2496,0.0044,0.02283
IAU,0.3928,0.0816,0.0492,0.076,0.4004,0.00099
SLV,0.2006,0.2108,0.161,0.2234,0.2042,0.0123
GSG,0.1752,0.225,0.1772,0.2418,0.1808,0.00985
REET,0.1112,0.2728,0.2338,0.271,0.1112,0.01222
ICLN,0.2686,0.1678,0.1268,0.1666,0.2702,0.00507
IXN,0.2176,0.2136,0.1476,0.2074,0.2138,0.00976
IGF,0.0636,0.2854,0.3006,0.2898,0.0606,0.01661
IUVL.L,0.188,0.2272,0.162,0.2272,0.1956,0.00452
IUMO.L,0.2464,0.1852,0.1332,0.1854,0.2498,0.0017
SPMV.L,0.1252,0.2604,0.2276,0.2646,0.1222,0.00774
IEVL.L,0.1532,0.2456,0.2032,0.243,0.155,0.00808
IEFM.L,0.483,0.0078,0.0052,0.0136,0.4904,0.0
MVEU.L,0.0876,0.291,0.2524,0.2744,0.0946,0.01201
XLK,0.225,0.2052,0.1548,0.1928,0.2222,0.00938
XLF,0.1752,0.2388,0.179,0.2356,0.1714,0.01989
XLV,0.0838,0.2866,0.2612,0.287,0.0814,0.01748
XLE,0.2556,0.1792,0.124,0.1834,0.2578,0.00628
XLY,0.228,0.2006,0.1432,0.206,0.2222,0.01208
XLI,0.1274,0.2646,0.2202,0.259,0.1288,0.01963
XLC,0.2332,0.1994,0.1488,0.1908,0.2278,0.00827
XLU,0.1078,0.272,0.2434,0.271,0.1058,0.00742
XLP,0.064,0.2826,0.3022,0.2978,0.0534,0.014
XLB,0.1448,0.255,0.2026,0.2548,0.1428,0.01515
VXX,0.4094,0.0634,0.0446,0.0662,0.4164,5e-05
