ID,Rank1,Rank2,Rank3,Rank4,Rank5,Decision
ABBV,0.1512,0.2464,0.1974,0.2494,0.1556,0.02115
ACN,0.2538,0.1832,0.1266,0.177,0.2594,-0.00389
AEP,0.1202,0.2668,0.2238,0.2626,0.1266,0.0197
AIZ,0.1602,0.2442,0.193,0.2396,0.163,0.00963
ALLE,0.2052,0.2076,0.1562,0.2114,0.2196,-0.00895
AMAT,0.3576,0.1092,0.067,0.1116,0.3546,0.00067
AMP,0.248,0.1874,0.14,0.1832,0.2414,-0.00245
AMZN,0.276,0.1684,0.1208,0.1734,0.2614,0.00873
AVB,0.1828,0.2316,0.1778,0.2388,0.169,0.00941
AVY,0.2376,0.1868,0.1448,0.1928,0.238,-0.00822
AXP,0.3016,0.1508,0.1036,0.1478,0.2962,0.00697
BDX,0.1626,0.2344,0.1858,0.2428,0.1744,0.0082
BF-B,0.1958,0.2146,0.1726,0.2186,0.1984,0.00637
BMY,0.1892,0.2182,0.1818,0.2182,0.1926,0.00401
BR,0.246,0.1844,0.1328,0.1824,0.2544,-0.00666
CARR,0.2398,0.1936,0.1306,0.1898,0.2462,-0.01092
CDW,0.2472,0.181,0.1416,0.182,0.2482,0.00735
CE,0.2498,0.1904,0.1316,0.1824,0.2458,-0.00184
CHTR,0.2544,0.1716,0.1328,0.1782,0.263,-0.00226
CNC,0.2732,0.17,0.1242,0.158,0.2746,0.00097
CNP,0.153,0.2388,0.2104,0.2448,0.153,0.00766
COP,0.2994,0.1504,0.1038,0.1456,0.3008,0.00338
CTAS,0.228,0.2058,0.1458,0.1946,0.2258,7e-05
CZR,0.3636,0.0988,0.0724,0.1012,0.364,0.00102
DG,0.2222,0.202,0.151,0.1976,0.2272,0.01587
DPZ,0.2898,0.1586,0.1204,0.15,0.2812,0.00749
DRE,0.1806,0.2364,0.1716,0.2254,0.186,0.00959
DXC,0.2934,0.1484,0.1156,0.1516,0.291,-0.00971
FB,0.2984,0.1554,0.1058,0.1484,0.292,0.00296
FTV,0.1824,0.2274,0.1822,0.2182,0.1898,0.00367
GOOG,0.2834,0.165,0.1192,0.168,0.2644,0.00692
GPC,0.2048,0.2118,0.1592,0.2176,0.2066,0.00659
HIG,0.189,0.2342,0.1624,0.2218,0.1926,0.00769
HST,0.2986,0.1562,0.1016,0.146,0.2976,0.003
JPM,0.24,0.1958,0.1364,0.1968,0.231,0.0041
KR,0.3132,0.1436,0.0924,0.1434,0.3074,0.00876
OGN,0.28,0.1606,0.1142,0.1626,0.2826,-0.00234
PG,0.1198,0.2616,0.2262,0.2604,0.132,0.01293
PPL,0.0678,0.2862,0.285,0.291,0.07,0.02208
PRU,0.2288,0.2018,0.1478,0.1904,0.2312,0.00714
PYPL,0.4036,0.0716,0.0504,0.0642,0.4102,-0.00303
RE,0.198,0.2218,0.1584,0.213,0.2088,0.00353
ROL,0.2768,0.1608,0.12,0.17,0.2724,-0.00113
ROST,0.2726,0.1622,0.1178,0.1658,0.2816,-0.00938
UNH,0.1938,0.2244,0.1684,0.2222,0.1912,0.01001
URI,0.3026,0.146,0.1072,0.1498,0.2944,-0.00157
V,0.3038,0.1488,0.1022,0.1522,0.293,0.00079
VRSK,0.2208,0.2022,0.1606,0.2008,0.2156,0.0073
WRK,0.264,0.178,0.113,0.1622,0.2828,-0.00336
XOM,0.2654,0.1734,0.1326,0.1562,0.2724,0.01401
IVV,0.1358,0.2572,0.2256,0.257,0.1244,0.0083
IWM,0.233,0.1888,0.1498,0.2042,0.2242,0.0006
EWU,0.1136,0.2666,0.2426,0.2702,0.107,0.01451
EWG,0.1166,0.262,0.2364,0.2718,0.1132,0.00474
EWL,0.0946,0.2756,0.2566,0.2756,0.0976,0.00651
EWQ,0.146,0.2544,0.2142,0.2478,0.1376,0.00492
IEUS,0.1458,0.2548,0.2062,0.2494,0.1438,0.00414
EWJ,0.128,0.2672,0.2194,0.2652,0.1202,0.00793
EWT,0.1808,0.2308,0.1754,0.2344,0.1786,0.01149
MCHI,0.2574,0.1806,0.1274,0.176,0.2586,0.01002
INDA,0.198,0.22,0.1668,0.2204,0.1948,0.01045
EWY,0.215,0.2106,0.1556,0.1998,0.219,-0.00465
EWA,0.1784,0.2308,0.184,0.244,0.1628,0.00368
EWH,0.1194,0.2618,0.234,0.2602,0.1246,0.01425
EWZ,0.2792,0.1614,0.1148,0.1568,0.2878,-0.00551
EWC,0.1524,0.2518,0.1948,0.245,0.156,0.00279
IEMG,0.1514,0.2562,0.1938,0.2412,0.1574,0.00792
LQD,0.003,0.2344,0.5022,0.257,0.0034,0.03055
HYG,0.0,0.151,0.683,0.166,0.0,0.03466
SHY,0.0,0.0,1.0,0.0,0.0,0.04314
IEF,0.001,0.2086,0.551,0.2384,0.001,0.03554
TLT,0.1026,0.2622,0.2394,0.272,0.1238,0.02645
SEGA.L,0.322,0.1222,0.0898,0.1288,0.3372,0.03078
IEAA.L,0.0,0.0184,0.9524,0.0292,0.0,0.04225
HIGH.L,0.0,0.1164,0.7558,0.1278,0.0,0.03644
JPEA.L,0.0044,0.245,0.481,0.2642,0.0054,0.0292
IAU,0.3616,0.1002,0.0758,0.1048,0.3576,0.00545
SLV,0.2086,0.2164,0.159,0.2054,0.2106,0.00516
GSG,0.1824,0.2252,0.1766,0.2262,0.1896,0.01476
REET,0.1084,0.2698,0.2354,0.2756,0.1108,0.00683
ICLN,0.27,0.1746,0.12,0.1678,0.2676,0.00524
IXN,0.2188,0.2056,0.1628,0.1968,0.216,0.00451
IGF,0.0594,0.2964,0.2874,0.2886,0.0682,0.00916
IUVL.L,0.1948,0.2272,0.1728,0.2164,0.1888,0.00515
IUMO.L,0.2512,0.1826,0.1414,0.185,0.2398,0.00397
SPMV.L,0.1298,0.2588,0.2226,0.264,0.1248,0.01144
IEVL.L,0.1616,0.2476,0.193,0.2406,0.1572,0.01178
IEFM.L,0.5024,0.0048,0.0044,0.005,0.4834,0.00011
MVEU.L,0.0816,0.2816,0.2644,0.2858,0.0866,0.01938
XLK,0.2312,0.1932,0.164,0.192,0.2196,0.00621
XLF,0.1762,0.2388,0.1798,0.232,0.1732,0.00811
XLV,0.0806,0.2828,0.2696,0.2848,0.0822,0.01294
XLE,0.2564,0.1832,0.1268,0.1754,0.2582,0.00895
XLY,0.2276,0.2024,0.1442,0.2082,0.2176,0.00703
XLI,0.1276,0.2642,0.2266,0.2566,0.125,0.00581
XLC,0.1832,0.228,0.184,0.231,0.1738,0.00659
XLU,0.1128,0.2646,0.239,0.2712,0.1124,0.00991
XLP,0.0594,0.2828,0.2998,0.2922,0.0658,0.01246
XLB,0.1372,0.2512,0.2178,0.2546,0.1392,0.00145
VXX,0.409,0.0606,0.042,0.0658,0.4226,0.04077
