ID,Rank1,Rank2,Rank3,Rank4,Rank5,Decision
ABBV,0.1652,0.2326,0.1982,0.2376,0.1664,0.01905
ACN,0.2582,0.1654,0.132,0.187,0.2574,-0.00476
AEP,0.1212,0.2664,0.232,0.2618,0.1186,0.01664
AIZ,0.162,0.2386,0.1944,0.2408,0.1642,0.00991
ALLE,0.2086,0.2074,0.154,0.2152,0.2148,-0.00692
AMAT,0.3464,0.1058,0.0746,0.1154,0.3578,-0.00375
AMP,0.229,0.1858,0.1408,0.1958,0.2486,-0.00167
AMZN,0.268,0.1686,0.1212,0.175,0.2672,0.00738
AVB,0.1786,0.24,0.1836,0.2222,0.1756,0.00745
AVY,0.2356,0.2068,0.139,0.1842,0.2344,-0.00565
AXP,0.298,0.1444,0.1032,0.146,0.3084,0.00473
BDX,0.172,0.232,0.192,0.2408,0.1632,0.00831
BF-B,0.1984,0.2248,0.1634,0.2244,0.189,0.00573
BMY,0.1888,0.23,0.1776,0.2188,0.1848,0.00574
BR,0.2444,0.1812,0.1458,0.1946,0.234,-0.00535
CARR,0.2426,0.1872,0.142,0.1842,0.244,-0.01165
CDW,0.25,0.1892,0.1306,0.1876,0.2426,0.00503
CE,0.2388,0.192,0.1294,0.182,0.2578,-0.00232
CHTR,0.2592,0.1786,0.1356,0.1782,0.2484,0.00023
CNC,0.2784,0.1638,0.116,0.169,0.2728,-0.00276
CNP,0.1554,0.2492,0.2048,0.2372,0.1534,0.00579
COP,0.3008,0.1432,0.0996,0.1426,0.3138,0.00064
CTAS,0.228,0.2036,0.1428,0.2002,0.2254,-0.00167
CZR,0.37,0.1006,0.0678,0.0978,0.3638,-0.00221
DG,0.225,0.2066,0.1448,0.201,0.2226,0.01403
DPZ,0.291,0.1584,0.109,0.1586,0.283,0.00812
DRE,0.1942,0.2258,0.1788,0.2178,0.1834,0.00695
DXC,0.3018,0.145,0.1044,0.1474,0.3014,-0.01162
FB,0.2876,0.1562,0.1232,0.1562,0.2768,0.00046
