ID,Rank1,Rank2,Rank3,Rank4,Rank5,Decision
ABBV,0.1726,0.2418,0.1904,0.2414,0.1538,0.0
ACN,0.2508,0.1806,0.1208,0.192,0.2558,0.0
AEP,0.1258,0.2688,0.231,0.2604,0.114,0.0
AIZ,0.1594,0.2474,0.184,0.244,0.1652,0.0
ALLE,0.218,0.2044,0.1582,0.2018,0.2176,0.0
AMAT,0.3454,0.1124,0.0794,0.1076,0.3552,0.0
AMP,0.2394,0.1972,0.1402,0.1796,0.2436,0.0
AMZN,0.2814,0.1614,0.1254,0.1674,0.2644,0.0
AVB,0.1764,0.2294,0.188,0.2294,0.1768,0.0
AVY,0.2294,0.1986,0.1398,0.2054,0.2268,0.0
AXP,0.2948,0.145,0.1076,0.1536,0.299,0.0
BDX,0.164,0.2342,0.1856,0.2414,0.1748,0.0
BF-B,0.1966,0.2218,0.167,0.2266,0.188,0.0
BMY,0.1902,0.2304,0.1764,0.2284,0.1746,0.0
BR,0.2486,0.1882,0.1362,0.1794,0.2476,0.0
CARR,0.236,0.1894,0.14,0.1794,0.2552,0.0
CDW,0.2456,0.182,0.1378,0.181,0.2536,0.0
CE,0.2474,0.1844,0.1438,0.1852,0.2392,0.0
CHTR,0.2568,0.183,0.1314,0.1846,0.2442,0.0
CNC,0.2852,0.1712,0.1216,0.1564,0.2656,0.0
CNP,0.155,0.2494,0.2028,0.2504,0.1424,0.0
COP,0.3072,0.1442,0.1002,0.15,0.2984,0.0
CTAS,0.2296,0.1988,0.1354,0.2006,0.2356,0.0
CZR,0.3594,0.09,0.0746,0.1062,0.3698,0.0
DG,0.2312,0.2024,0.1438,0.1974,0.2252,0.0
DPZ,0.2868,0.1616,0.1218,0.1586,0.2712,0.0
DRE,0.1842,0.2212,0.1766,0.2344,0.1836,0.0
DXC,0.2928,0.1486,0.1094,0.1468,0.3024,0.0
FB,0.2888,0.1598,0.1044,0.1536,0.2934,0.0
FTV,0.1894,0.2308,0.1664,0.2284,0.185,0.0
GOOG,0.2696,0.1798,0.1176,0.1686,0.2644,0.0
GPC,0.2172,0.2074,0.1536,0.2112,0.2106,0.0
HIG,0.1922,0.22,0.1734,0.2208,0.1936,0.0
HST,0.2796,0.1526,0.118,0.1588,0.291,0.0
JPM,0.227,0.1966,0.1376,0.1906,0.2482,0.0
KR,0.3072,0.1474,0.0998,0.1554,0.2902,0.0
OGN,0.294,0.1468,0.1144,0.162,0.2828,0.0
PG,0.133,0.2684,0.2214,0.2552,0.122,0.0
PPL,0.0752,0.279,0.288,0.2852,0.0726,0.0
PRU,0.2326,0.1958,0.1464,0.2012,0.224,0.0
PYPL,0.4042,0.0704,0.0466,0.0782,0.4006,0.0
RE,0.2136,0.2128,0.1502,0.2174,0.206,0.0
ROL,0.2802,0.1586,0.114,0.1626,0.2846,0.0
ROST,0.2782,0.1622,0.1212,0.1582,0.2802,0.0
UNH,0.1874,0.2334,0.1748,0.2226,0.1818,0.0
URI,0.3062,0.1338,0.0944,0.1518,0.3138,0.0
V,0.3024,0.1468,0.1074,0.1498,0.2936,0.0
VRSK,0.2218,0.193,0.153,0.2156,0.2166,0.0
WRK,0.281,0.1664,0.1156,0.1658,0.2712,0.0
XOM,0.2826,0.161,0.1136,0.1662,0.2766,0.0
IVV,0.1238,0.2642,0.2356,0.2518,0.1246,0.0
IWM,0.224,0.194,0.1472,0.2058,0.229,0.0
EWU,0.1146,0.274,0.2304,0.2726,0.1084,0.0
EWG,0.1112,0.2706,0.2346,0.2722,0.1114,0.0
EWL,0.0922,0.2758,0.267,0.271,0.094,0.0
EWQ,0.142,0.2438,0.2172,0.2612,0.1358,0.0
IEUS,0.1404,0.2528,0.2124,0.2522,0.1422,0.0
EWJ,0.1278,0.2602,0.225,0.2574,0.1296,0.0
EWT,0.1798,0.233,0.176,0.2254,0.1858,0.0
MCHI,0.2448,0.1826,0.1306,0.1846,0.2574,0.0
INDA,0.1936,0.2168,0.1744,0.2244,0.1908,0.0
EWY,0.2144,0.203,0.1536,0.2062,0.2228,0.0
EWA,0.1644,0.237,0.1912,0.234,0.1734,0.0
EWH,0.1206,0.2544,0.2338,0.2676,0.1236,0.0
EWZ,0.28,0.1596,0.1194,0.1634,0.2776,0.0
EWC,0.1456,0.2592,0.1994,0.2454,0.1504,0.0
IEMG,0.1458,0.2474,0.2052,0.247,0.1546,0.0
LQD,0.0016,0.257,0.495,0.2436,0.0028,0.0
HYG,0.0002,0.1586,0.689,0.1522,0.0,0.0
SHY,0.0,0.0,1.0,0.0,0.0,0.0
IEF,0.0006,0.2312,0.5472,0.2202,0.0008,0.0
TLT,0.1232,0.2624,0.2348,0.2666,0.113,0.0
SEGA.L,0.3224,0.1342,0.0898,0.124,0.3296,0.0
IEAA.L,0.0,0.029,0.944,0.027,0.0,0.0
HIGH.L,0.0,0.1238,0.757,0.1192,0.0,0.0
JPEA.L,0.0052,0.2496,0.4932,0.2456,0.0064,0.0
IAU,0.3958,0.0796,0.0558,0.0676,0.4012,0.0
SLV,0.2096,0.2002,0.1646,0.2084,0.2172,0.0
GSG,0.1886,0.2164,0.1828,0.2344,0.1778,0.0
REET,0.1066,0.2738,0.2352,0.2752,0.1092,0.0
ICLN,0.2558,0.1766,0.1236,0.171,0.273,0.0
IXN,0.2086,0.2136,0.1556,0.2088,0.2134,0.0
IGF,0.0646,0.2886,0.2966,0.2846,0.0656,0.0
IUVL.L,0.1914,0.2162,0.1706,0.2158,0.206,0.0
IUMO.L,0.2474,0.1714,0.1376,0.1818,0.2618,0.0
SPMV.L,0.1222,0.2594,0.2218,0.2696,0.127,0.0
IEVL.L,0.162,0.243,0.196,0.2374,0.1616,0.0
IEFM.L,0.4862,0.0048,0.0032,0.005,0.5008,1.0
MVEU.L,0.0848,0.2808,0.2614,0.2904,0.0826,0.0
XLK,0.2162,0.208,0.1512,0.2024,0.2222,0.0
XLF,0.1674,0.235,0.1892,0.2332,0.1752,0.0
XLV,0.084,0.2868,0.2706,0.2834,0.0752,0.0
XLE,0.269,0.1694,0.1184,0.176,0.2672,0.0
XLY,0.2114,0.2118,0.1532,0.196,0.2276,0.0
XLI,0.1238,0.2648,0.2248,0.2566,0.13,0.0
XLC,0.1804,0.2332,0.1806,0.2334,0.1724,0.0
XLU,0.1122,0.2704,0.2432,0.2614,0.1128,0.0
XLP,0.0662,0.2912,0.2978,0.2834,0.0614,0.0
XLB,0.1394,0.2578,0.216,0.2506,0.1362,0.0
VXX,0.4148,0.0624,0.0462,0.0644,0.4122,0.0
