ID,Rank1,Rank2,Rank3,Rank4,Rank5,Decision
ABBV,0.139,0.2508,0.2102,0.2536,0.1464,0.01264
ACN,0.2752,0.1634,0.1146,0.1702,0.2766,0.00585
AEP,0.1172,0.256,0.243,0.2696,0.1142,0.014
AIZ,0.1806,0.2282,0.184,0.225,0.1822,0.01091
ALLE,0.216,0.2042,0.1616,0.2052,0.213,0.0087
AMAT,0.3628,0.1116,0.0782,0.1016,0.3458,0.00273
AMP,0.2628,0.1912,0.1232,0.1756,0.2472,0.00712
AMZN,0.2566,0.1762,0.1352,0.1782,0.2538,0.0069
AVB,0.192,0.2218,0.1734,0.2212,0.1916,0.00985
AVY,0.2398,0.1894,0.1556,0.184,0.2312,0.0076
AXP,0.3204,0.1332,0.092,0.1342,0.3202,0.00439
BDX,0.1632,0.24,0.1948,0.2282,0.1738,0.01112
BF-B,0.2086,0.2108,0.1578,0.218,0.2048,0.00953
BMY,0.1954,0.2298,0.1576,0.2032,0.214,0.0096
BR,0.2458,0.1768,0.148,0.185,0.2444,0.00719
CARR,0.2438,0.1858,0.1382,0.1918,0.2404,0.00765
CDW,0.255,0.1804,0.1192,0.1848,0.2606,0.00662
CE,0.2488,0.1942,0.1402,0.1838,0.233,0.00757
CHTR,0.264,0.1702,0.1218,0.1694,0.2746,0.00619
CNC,0.258,0.1792,0.1324,0.19,0.2404,0.00716
CNP,0.159,0.239,0.202,0.2418,0.1582,0.01217
COP,0.3028,0.1488,0.0994,0.1568,0.2922,0.00526
CTAS,0.2474,0.1796,0.1428,0.1882,0.242,0.00731
CZR,0.3674,0.1002,0.059,0.0976,0.3758,0.00224
DG,0.2256,0.194,0.153,0.1944,0.233,0.00831
DPZ,0.2642,0.1616,0.123,0.1694,0.2818,0.00603
DRE,0.184,0.2226,0.1716,0.2246,0.1972,0.01004
DXC,0.2768,0.174,0.1228,0.162,0.2644,0.00609
FB,0.2884,0.1558,0.122,0.1616,0.2722,0.00561
FTV,0.1964,0.2258,0.1714,0.2192,0.1872,0.01015
GOOG,0.269,0.17,0.1256,0.1746,0.2608,0.00645
GPC,0.2188,0.2068,0.1566,0.2078,0.21,0.009
HIG,0.213,0.208,0.1718,0.2004,0.2068,0.00954
HST,0.3182,0.145,0.0942,0.1344,0.3082,0.00446
JPM,0.2456,0.1886,0.1312,0.185,0.2496,0.00742
KR,0.3154,0.1312,0.089,0.133,0.3314,0.0038
OGN,0.2496,0.1788,0.1318,0.1928,0.247,0.0073
PG,0.1426,0.2418,0.2118,0.2702,0.1336,0.01265
PPL,0.0608,0.2788,0.296,0.2956,0.0688,0.01662
PRU,0.2534,0.1948,0.1358,0.176,0.24,0.00772
PYPL,0.382,0.0802,0.056,0.0754,0.4064,0.00147
RE,0.2008,0.22,0.163,0.2206,0.1956,0.01023
ROL,0.2598,0.1708,0.13,0.1744,0.265,0.00646
ROST,0.2708,0.1708,0.1258,0.1674,0.2652,0.00589
UNH,0.188,0.2276,0.177,0.2212,0.1862,0.01011
URI,0.3044,0.1476,0.1184,0.14,0.2896,0.00497
V,0.2798,0.1622,0.104,0.1606,0.2934,0.00555
VRSK,0.2138,0.206,0.1572,0.2032,0.2198,0.00868
WRK,0.2762,0.1632,0.1256,0.1666,0.2684,0.00619
XOM,0.258,0.182,0.1298,0.1766,0.2536,0.00727
IVV,0.1402,0.253,0.2196,0.2452,0.142,0.01229
IWM,0.2262,0.2052,0.1442,0.19,0.2344,0.008
EWU,0.1284,0.2676,0.224,0.2452,0.1348,0.0131
EWG,0.1142,0.2734,0.2272,0.271,0.1142,0.01381
EWL,0.0878,0.2776,0.2644,0.2698,0.1004,0.01504
EWQ,0.1504,0.2496,0.2042,0.2448,0.151,0.01206
IEUS,0.1488,0.2492,0.2046,0.25,0.1474,0.01226
EWJ,0.1192,0.2718,0.231,0.2578,0.1202,0.01373
EWT,0.1674,0.2332,0.1936,0.2404,0.1654,0.01119
MCHI,0.2502,0.193,0.1344,0.1878,0.2346,0.00765
INDA,0.2376,0.193,0.1424,0.2018,0.2252,0.00825
EWY,0.2294,0.192,0.1508,0.1898,0.238,0.00843
EWA,0.1826,0.2374,0.1786,0.2204,0.181,0.0105
EWH,0.129,0.265,0.2266,0.2564,0.123,0.0137
EWZ,0.277,0.17,0.1206,0.1638,0.2686,0.00614
EWC,0.1706,0.2474,0.1794,0.2274,0.1752,0.01099
IEMG,0.1702,0.2336,0.1916,0.249,0.1556,0.01165
LQD,0.0034,0.2328,0.5044,0.2556,0.0038,0.02109
HYG,0.0002,0.1582,0.6432,0.1984,0.0,0.0223
SHY,0.0,0.0,0.9996,0.0004,0.0,0.02395
IEF,0.0026,0.2154,0.5342,0.2458,0.002,0.02139
TLT,0.1168,0.2536,0.2314,0.27,0.1282,0.01349
SEGA.L,0.321,0.122,0.0874,0.132,0.3376,0.00375
IEAA.L,0.0,0.014,0.9636,0.0224,0.0,0.02368
HIGH.L,0.0,0.1272,0.7088,0.164,0.0,0.02272
JPEA.L,0.0046,0.2534,0.4578,0.276,0.0082,0.02047
IAU,0.05,0.2894,0.3188,0.2866,0.0552,0.01706
SLV,0.1754,0.2386,0.1848,0.2196,0.1816,0.01043
GSG,0.2222,0.2046,0.1586,0.2078,0.2068,0.00909
REET,0.1126,0.2658,0.2418,0.2574,0.1224,0.01356
ICLN,0.2588,0.1862,0.1318,0.1744,0.2488,0.00667
IXN,0.2202,0.2016,0.1556,0.198,0.2246,0.00826
IGF,0.0632,0.2972,0.2892,0.28,0.0704,0.01632
IUVL.L,0.2074,0.2028,0.1646,0.2016,0.2236,0.00901
IUMO.L,0.2538,0.181,0.1258,0.1768,0.2626,0.00692
SPMV.L,0.1344,0.255,0.2072,0.2614,0.142,0.01285
IEVL.L,0.185,0.2118,0.182,0.23,0.1912,0.01044
IEFM.L,0.505,0.0064,0.0028,0.0048,0.481,1e-05
MVEU.L,0.1,0.273,0.244,0.2714,0.1116,0.01463
XLK,0.2284,0.197,0.1518,0.191,0.2318,0.00784
XLF,0.1912,0.2298,0.1718,0.2102,0.197,0.01015
XLV,0.0784,0.2808,0.2746,0.2842,0.082,0.0155
XLE,0.2542,0.1864,0.1312,0.1764,0.2518,0.00731
XLY,0.2216,0.2048,0.1434,0.206,0.2242,0.00817
XLI,0.144,0.2614,0.207,0.2392,0.1484,0.01231
XLC,0.1858,0.2288,0.187,0.2194,0.179,0.01043
XLU,0.116,0.2588,0.238,0.2788,0.1084,0.01399
XLP,0.0756,0.2764,0.2844,0.2878,0.0758,0.01571
XLB,0.143,0.251,0.2242,0.2466,0.1352,0.01263
VXX,0.419,0.054,0.0334,0.0514,0.4422,0.00073
