ID,Rank1,Rank2,Rank3,Rank4,Rank5,Decision
ABBV,0.1834,0.217,0.183,0.2282,0.1884,0.00629
ACN,0.2188,0.2092,0.1516,0.1966,0.2238,-0.0015
AEP,0.1424,0.2622,0.2026,0.2632,0.1296,0.00542
AIZ,0.1724,0.2396,0.1786,0.2268,0.1826,0.00369
ALLE,0.2228,0.1996,0.1504,0.1984,0.2288,-0.0034
AMAT,0.338,0.1102,0.0794,0.1238,0.3486,-0.00575
AMP,0.254,0.1882,0.131,0.1844,0.2424,-0.0022
AMZN,0.2658,0.1684,0.1318,0.1716,0.2624,0.00209
AVB,0.1722,0.2266,0.1792,0.2308,0.1912,0.00243
AVY,0.2278,0.2032,0.1444,0.197,0.2276,0.00039
AXP,0.2762,0.1602,0.1128,0.162,0.2888,-0.00011
BDX,0.1744,0.2344,0.1892,0.2212,0.1808,0.00532
BF-B,0.2116,0.2064,0.1596,0.2186,0.2038,0.00293
BMY,0.1874,0.2224,0.1742,0.2382,0.1778,0.0037
BR,0.2152,0.2066,0.1542,0.2124,0.2116,-0.00121
CARR,0.2492,0.1856,0.125,0.1746,0.2656,-0.00565
CDW,0.232,0.1982,0.1382,0.1856,0.246,0.00214
CE,0.2472,0.1882,0.1344,0.1806,0.2496,-0.0023
CHTR,0.2426,0.194,0.1308,0.1902,0.2424,0.00269
CNC,0.2898,0.1684,0.0986,0.1638,0.2794,-0.00275
CNP,0.167,0.2352,0.1854,0.2366,0.1758,-0.00027
COP,0.3132,0.1368,0.0946,0.1428,0.3126,-0.00117
CTAS,0.2252,0.197,0.1386,0.208,0.2312,-0.00155
CZR,0.373,0.1002,0.0634,0.1026,0.3608,-0.00452
DG,0.2052,0.2108,0.1708,0.2112,0.202,0.00731
DPZ,0.2914,0.1568,0.111,0.1564,0.2844,0.00182
DRE,0.178,0.2328,0.1684,0.231,0.1898,0.00083
DXC,0.3332,0.1188,0.0834,0.1298,0.3348,-0.00721
FB,0.3002,0.1468,0.1102,0.1568,0.286,-0.00127
FTV,0.1996,0.2196,0.1576,0.2184,0.2048,-0.00042
GOOG,0.2316,0.1944,0.1344,0.1892,0.2504,-0.00038
GPC,0.1966,0.2206,0.1536,0.2152,0.214,0.00184
