ID,Rank1,Rank2,Rank3,Rank4,Rank5,Decision
ABBV,0.1842,0.2212,0.1734,0.2296,0.1916,0.0
ACN,0.2162,0.2062,0.1526,0.2138,0.2112,0.0
AEP,0.141,0.2512,0.2148,0.2526,0.1404,0.0
AIZ,0.1768,0.2248,0.1836,0.238,0.1768,0.0
ALLE,0.2362,0.1932,0.147,0.2034,0.2202,0.0
AMAT,0.3416,0.1224,0.0798,0.114,0.3422,0.0
AMP,0.2506,0.1774,0.1418,0.1824,0.2478,0.0
AMZN,0.2474,0.18,0.1266,0.184,0.262,0.0
AVB,0.1826,0.228,0.175,0.229,0.1854,0.0
AVY,0.2388,0.1966,0.142,0.2016,0.221,0.0
AXP,0.2804,0.1602,0.1152,0.159,0.2852,0.0
BDX,0.1768,0.2238,0.185,0.228,0.1864,0.0
BF-B,0.2044,0.224,0.1592,0.2054,0.207,0.0
BMY,0.1874,0.221,0.1602,0.2308,0.2006,0.0
BR,0.2102,0.201,0.17,0.2072,0.2116,0.0
CARR,0.2662,0.172,0.1314,0.1776,0.2528,0.0
CDW,0.2302,0.199,0.132,0.2034,0.2354,0.0
CE,0.264,0.173,0.1284,0.1804,0.2542,0.0
CHTR,0.246,0.1852,0.138,0.1824,0.2484,0.0
CNC,0.2964,0.1516,0.1036,0.1502,0.2982,0.0
CNP,0.1898,0.225,0.179,0.2266,0.1796,0.0
COP,0.3136,0.1442,0.0958,0.1424,0.304,0.0
CTAS,0.232,0.192,0.1454,0.1964,0.2342,0.0
CZR,0.355,0.1044,0.07,0.1046,0.366,0.0
DG,0.2014,0.2162,0.1646,0.224,0.1938,0.0
DPZ,0.2714,0.1612,0.1166,0.1694,0.2814,0.0
DRE,0.1842,0.2332,0.1752,0.216,0.1914,0.0
DXC,0.3348,0.1252,0.0862,0.14,0.3138,0.0
FB,0.2826,0.156,0.1118,0.1572,0.2924,0.0
FTV,0.2064,0.2158,0.1644,0.2116,0.2018,0.0
GOOG,0.2362,0.189,0.1418,0.1896,0.2434,0.0
GPC,0.2082,0.2126,0.1624,0.2038,0.213,0.0
HIG,0.224,0.1994,0.1558,0.1996,0.2212,0.0
HST,0.3052,0.1556,0.106,0.1406,0.2926,0.0
JPM,0.2294,0.1978,0.1434,0.1994,0.23,0.0
KR,0.305,0.1444,0.1014,0.1396,0.3096,0.0
OGN,0.3272,0.1268,0.0852,0.1252,0.3356,0.0
PG,0.1278,0.2626,0.2324,0.251,0.1262,0.0
PPL,0.1168,0.2694,0.238,0.2568,0.119,0.0
PRU,0.2426,0.1832,0.1428,0.192,0.2394,0.0
PYPL,0.3522,0.1036,0.07,0.1098,0.3644,0.0
RE,0.2402,0.1894,0.1348,0.1914,0.2442,0.0
ROL,0.261,0.173,0.1212,0.1754,0.2694,0.0
ROST,0.2838,0.1712,0.1126,0.1568,0.2756,0.0
UNH,0.1952,0.222,0.1654,0.2272,0.1902,0.0
URI,0.3216,0.1326,0.0904,0.1414,0.314,0.0
V,0.2596,0.1794,0.1218,0.1746,0.2646,0.0
VRSK,0.219,0.2054,0.1618,0.1986,0.2152,0.0
WRK,0.2956,0.1576,0.1074,0.1558,0.2836,0.0
XOM,0.279,0.1616,0.1142,0.1762,0.269,0.0
IVV,0.0988,0.2754,0.2448,0.2758,0.1052,0.0
IWM,0.2162,0.2028,0.1598,0.2084,0.2128,0.0
EWU,0.1246,0.264,0.2232,0.2696,0.1186,0.0
EWG,0.1206,0.2716,0.2126,0.2652,0.13,0.0
EWL,0.0898,0.2834,0.2574,0.279,0.0904,0.0
EWQ,0.136,0.2612,0.2112,0.246,0.1456,0.0
IEUS,0.141,0.2548,0.2,0.2576,0.1466,0.0
EWJ,0.1356,0.2546,0.2156,0.2568,0.1374,0.0
EWT,0.2168,0.2036,0.1546,0.2008,0.2242,0.0
MCHI,0.2618,0.1722,0.1168,0.1808,0.2684,0.0
INDA,0.165,0.2354,0.1862,0.2376,0.1758,0.0
EWY,0.2216,0.1982,0.1502,0.211,0.219,0.0
EWA,0.1612,0.2452,0.1888,0.2404,0.1644,0.0
EWH,0.1336,0.252,0.2204,0.2604,0.1336,0.0
EWZ,0.3098,0.1476,0.1006,0.1502,0.2918,0.0
EWC,0.1392,0.2542,0.206,0.261,0.1396,0.0
IEMG,0.155,0.2418,0.1956,0.2496,0.158,0.0
LQD,0.005,0.2574,0.4952,0.2396,0.0028,0.0
HYG,0.0,0.1512,0.708,0.1408,0.0,0.0
SHY,0.0,0.0,1.0,0.0,0.0,0.0
