ID,Rank1,Rank2,Rank3,Rank4,Rank5,Decision
ABBV,0.1586,0.2438,0.2022,0.2414,0.154,0.01183
ACN,0.2644,0.178,0.1314,0.17,0.2562,0.00622
AEP,0.1346,0.2578,0.2106,0.2688,0.1282,0.01301
AIZ,0.1546,0.2404,0.2044,0.2418,0.1588,0.0111
ALLE,0.2272,0.1964,0.1442,0.201,0.2312,0.00777
AMAT,0.3422,0.1182,0.0764,0.1134,0.3498,0.00253
AMP,0.2482,0.1732,0.1292,0.1842,0.2652,0.00631
AMZN,0.2658,0.1698,0.131,0.1792,0.2542,0.006
AVB,0.1802,0.227,0.182,0.2304,0.1804,0.01011
AVY,0.2514,0.1756,0.1388,0.1804,0.2538,0.00679
AXP,0.3072,0.1426,0.106,0.1368,0.3074,0.00415
BDX,0.1758,0.2352,0.1848,0.2272,0.177,0.01061
BF-B,0.2052,0.2122,0.167,0.2166,0.199,0.00929
BMY,0.1984,0.2184,0.1744,0.21,0.1988,0.00921
BR,0.2466,0.194,0.1338,0.183,0.2426,0.00677
CARR,0.2596,0.1754,0.1244,0.175,0.2656,0.00608
CDW,0.2516,0.1742,0.1306,0.1814,0.2622,0.006
CE,0.2516,0.1762,0.1326,0.1748,0.2648,0.00619
CHTR,0.2812,0.1764,0.1322,0.1658,0.2444,0.00596
CNC,0.294,0.1602,0.111,0.1526,0.2822,0.00482
CNP,0.173,0.2306,0.186,0.2302,0.1802,0.01045
COP,0.3072,0.1448,0.0988,0.1462,0.303,0.00424
CTAS,0.2218,0.1984,0.1478,0.2062,0.2258,0.00753
CZR,0.3684,0.102,0.0712,0.0988,0.3596,0.00212
DG,0.2054,0.2068,0.163,0.204,0.2208,0.00849
DPZ,0.27,0.1602,0.1232,0.1656,0.281,0.00567
DRE,0.1748,0.2276,0.1898,0.233,0.1748,0.01034
DXC,0.2894,0.157,0.1132,0.1648,0.2756,0.00497
FB,0.2896,0.1568,0.1004,0.1582,0.295,0.00452
FTV,0.1836,0.2162,0.193,0.2184,0.1888,0.01033
GOOG,0.2578,0.1806,0.1254,0.177,0.2592,0.00601
GPC,0.2116,0.206,0.1602,0.2054,0.2168,0.00849
HIG,0.1962,0.2134,0.1732,0.2252,0.192,0.00897
HST,0.2902,0.149,0.1156,0.1528,0.2924,0.00465
JPM,0.2344,0.1948,0.1396,0.1892,0.242,0.00709
KR,0.2946,0.1528,0.1042,0.1358,0.3126,0.00398
OGN,0.268,0.1758,0.122,0.1588,0.2754,0.00539
PG,0.1248,0.2626,0.2346,0.2538,0.1242,0.01346
PPL,0.0806,0.2808,0.2722,0.2898,0.0766,0.0165
PRU,0.2336,0.1878,0.1374,0.1924,0.2488,0.00685
PYPL,0.3894,0.0928,0.061,0.082,0.3748,0.00153
RE,0.2284,0.1958,0.1532,0.1926,0.23,0.00788
ROL,0.2912,0.1486,0.1122,0.1548,0.2932,0.00464
ROST,0.2974,0.1524,0.112,0.1546,0.2836,0.00508
UNH,0.203,0.211,0.1654,0.2136,0.207,0.00876
