ID,Rank1,Rank2,Rank3,Rank4,Rank5,Decision
ABBV,0.1384,0.2534,0.2144,0.2544,0.1394,0.01727
ACN,0.2818,0.159,0.1144,0.154,0.2908,-0.0058
AEP,0.111,0.2802,0.2408,0.2564,0.1116,0.02324
AIZ,0.169,0.2464,0.1784,0.2262,0.18,0.00901
ALLE,0.2282,0.194,0.148,0.2028,0.227,-0.01142
AMAT,0.3578,0.1012,0.0784,0.1036,0.359,0.00296
AMP,0.251,0.1744,0.1272,0.1904,0.257,-0.00415
AMZN,0.2544,0.1796,0.1314,0.1722,0.2624,0.01353
AVB,0.1968,0.218,0.17,0.2286,0.1866,0.0104
AVY,0.2392,0.1908,0.136,0.19,0.244,-0.00573
AXP,0.3188,0.1346,0.1028,0.1316,0.3122,0.00366
BDX,0.1778,0.23,0.1882,0.2368,0.1672,0.00408
BF-B,0.2056,0.2202,0.1604,0.2168,0.197,0.00081
BMY,0.1988,0.207,0.173,0.207,0.2142,-0.00097
BR,0.2528,0.1798,0.136,0.1766,0.2548,-0.00202
CARR,0.2434,0.1878,0.145,0.184,0.2398,-0.01258
CDW,0.256,0.1822,0.1242,0.1786,0.259,0.0031
CE,0.2396,0.1916,0.1344,0.1848,0.2496,-0.00618
CHTR,0.2632,0.1694,0.1144,0.176,0.277,-0.00182
CNC,0.2454,0.1828,0.14,0.1816,0.2502,0.00465
CNP,0.1614,0.248,0.2062,0.2426,0.1418,0.00597
COP,0.293,0.163,0.1012,0.158,0.2848,0.00397
CTAS,0.2434,0.188,0.1378,0.1846,0.2462,-0.00276
CZR,0.3626,0.0982,0.067,0.103,0.3692,0.00196
DG,0.2274,0.192,0.1542,0.1996,0.2268,0.01385
DPZ,0.2726,0.1616,0.1106,0.1644,0.2908,0.00347
DRE,0.1972,0.218,0.1698,0.2244,0.1906,0.00772
DXC,0.2774,0.166,0.1178,0.1594,0.2794,-0.00817
FB,0.2804,0.1614,0.1162,0.1614,0.2806,-0.00372
FTV,0.1884,0.2228,0.1736,0.2244,0.1908,0.00478
GOOG,0.2624,0.1854,0.1204,0.1668,0.265,0.00507
GPC,0.2088,0.21,0.1522,0.2032,0.2258,0.00842
HIG,0.2022,0.2158,0.1614,0.2118,0.2088,0.00673
HST,0.3196,0.1398,0.0976,0.1324,0.3106,0.00377
JPM,0.2358,0.1874,0.1382,0.1884,0.2502,0.00375
KR,0.329,0.1228,0.0826,0.1272,0.3384,0.00477
OGN,0.2526,0.1854,0.1318,0.188,0.2422,-0.00149
PG,0.15,0.2432,0.211,0.2546,0.1412,0.0116
PPL,0.0642,0.2928,0.3026,0.2836,0.0568,0.02396
PRU,0.2446,0.179,0.1514,0.1842,0.2408,0.00344
PYPL,0.3882,0.074,0.0534,0.08,0.4044,-0.00592
RE,0.1854,0.2298,0.1694,0.2308,0.1846,0.00574
ROL,0.264,0.1732,0.1168,0.175,0.271,-0.00186
ROST,0.2744,0.1604,0.1182,0.1636,0.2834,-0.01071
