ID,Rank1,Rank2,Rank3,Rank4,Rank5,Decision
ABBV,0.15,0.2458,0.2078,0.2412,0.1552,0.02527
ACN,0.262,0.1776,0.1236,0.1716,0.2652,0.0
AEP,0.1432,0.2538,0.2112,0.253,0.1388,0.01858
AIZ,0.162,0.2366,0.199,0.238,0.1644,0.01118
ALLE,0.2162,0.2026,0.1492,0.2052,0.2268,0.0
AMAT,0.356,0.1114,0.0784,0.1096,0.3446,0.00039
AMP,0.263,0.1776,0.1362,0.1748,0.2484,0.0
AMZN,0.2732,0.1662,0.1274,0.1666,0.2666,0.00789
AVB,0.1814,0.2264,0.1896,0.217,0.1856,0.00686
AVY,0.2416,0.176,0.144,0.1904,0.248,0.0
AXP,0.3108,0.141,0.0996,0.1502,0.2984,0.00232
BDX,0.1688,0.2424,0.1762,0.2322,0.1804,0.00435
BF-B,0.1862,0.222,0.185,0.2114,0.1954,0.00491
BMY,0.1776,0.2154,0.175,0.2272,0.2048,0.0
BR,0.2524,0.1808,0.1364,0.1856,0.2448,0.0
CARR,0.2632,0.1782,0.1238,0.1812,0.2536,0.0
CDW,0.2632,0.1796,0.1278,0.1772,0.2522,0.00755
CE,0.253,0.18,0.1326,0.1804,0.254,0.0
CHTR,0.2616,0.1704,0.1428,0.1684,0.2568,0.0
CNC,0.2826,0.1658,0.1144,0.1484,0.2888,0.0
CNP,0.1708,0.2372,0.1844,0.2244,0.1832,0.00702
COP,0.3108,0.1468,0.1052,0.1468,0.2904,0.00236
CTAS,0.2312,0.1976,0.149,0.1932,0.229,0.0
CZR,0.3676,0.1044,0.0714,0.096,0.3606,0.00099
DG,0.2094,0.1976,0.167,0.2038,0.2222,0.01784
DPZ,0.267,0.171,0.129,0.167,0.266,0.009
DRE,0.182,0.2378,0.1796,0.2234,0.1772,0.01216
DXC,0.2876,0.1604,0.114,0.1576,0.2804,0.0
FB,0.2978,0.1476,0.1046,0.1474,0.3026,0.00388
FTV,0.1734,0.2372,0.1832,0.2246,0.1816,0.0
GOOG,0.2728,0.154,0.132,0.1746,0.2666,0.00188
GPC,0.2108,0.2144,0.1644,0.217,0.1934,0.00486
HIG,0.2022,0.2174,0.1786,0.2078,0.194,0.00905
HST,0.2806,0.1584,0.1096,0.1554,0.296,0.00331
JPM,0.244,0.1936,0.139,0.1938,0.2296,0.00721
