ID,Rank1,Rank2,Rank3,Rank4,Rank5,Decision
ABBV,0.1672,0.2396,0.1902,0.2436,0.1594,0.02138
ACN,0.257,0.1732,0.1258,0.1784,0.2656,0.0
AEP,0.1264,0.2592,0.2316,0.2666,0.1162,0.01868
AIZ,0.1656,0.2374,0.2024,0.2362,0.1584,0.01123
ALLE,0.2184,0.21,0.141,0.2062,0.2244,0.0
AMAT,0.3472,0.1092,0.0702,0.1164,0.357,0.0
AMP,0.238,0.1812,0.1388,0.1874,0.2546,0.0
AMZN,0.2644,0.164,0.1278,0.1682,0.2756,0.00784
AVB,0.1714,0.2318,0.186,0.2356,0.1752,0.00835
AVY,0.233,0.1968,0.1428,0.1872,0.2402,0.0
AXP,0.2982,0.1534,0.1038,0.149,0.2956,0.00471
BDX,0.1734,0.2388,0.1954,0.2334,0.159,0.00993
BF-B,0.2014,0.2122,0.1706,0.228,0.1878,0.00685
BMY,0.191,0.2334,0.171,0.218,0.1866,0.00692
BR,0.2416,0.1878,0.1334,0.178,0.2592,0.0
CARR,0.2376,0.1892,0.1322,0.1914,0.2496,0.0
CDW,0.2446,0.1966,0.1316,0.1738,0.2534,0.00497
CE,0.2454,0.1776,0.1394,0.186,0.2516,0.0
CHTR,0.2508,0.1762,0.1264,0.1826,0.264,0.0005
CNC,0.2698,0.162,0.118,0.1704,0.2798,0.0
CNP,0.1568,0.2378,0.2062,0.2478,0.1514,0.00678
COP,0.2978,0.1496,0.1026,0.1452,0.3048,0.00097
CTAS,0.2256,0.2094,0.1416,0.1924,0.231,0.0
CZR,0.3702,0.1052,0.063,0.0972,0.3644,0.0
DG,0.2234,0.1964,0.1522,0.1956,0.2324,0.01594
DPZ,0.2832,0.1562,0.1152,0.1596,0.2858,0.00886
DRE,0.1908,0.2232,0.1678,0.2264,0.1918,0.00754
DXC,0.2956,0.1438,0.105,0.157,0.2986,0.0
FB,0.2862,0.151,0.115,0.152,0.2958,0.0
FTV,0.186,0.2196,0.1868,0.224,0.1836,0.00332
GOOG,0.2586,0.1774,0.1256,0.1822,0.2562,0.00418
GPC,0.1992,0.2146,0.1604,0.2234,0.2024,0.00706
HIG,0.1886,0.2214,0.1672,0.2294,0.1934,0.00921
HST,0.2982,0.152,0.1158,0.1516,0.2824,0.00126
JPM,0.232,0.1966,0.1456,0.1772,0.2486,0.00505
KR,0.314,0.1364,0.0972,0.1434,0.309,0.00679
OGN,0.2912,0.1464,0.1118,0.1552,0.2954,0.0
PG,0.1248,0.266,0.2234,0.2522,0.1336,0.01284
PPL,0.0752,0.285,0.2844,0.2898,0.0656,0.0217
PRU,0.232,0.1938,0.1446,0.2032,0.2264,0.0066
PYPL,0.3952,0.069,0.0514,0.0798,0.4046,0.0
RE,0.2172,0.2134,0.1592,0.2118,0.1984,0.00293
ROL,0.2756,0.1644,0.1126,0.163,0.2844,0.0
ROST,0.271,0.156,0.1208,0.174,0.2782,0.0
UNH,0.1882,0.2194,0.171,0.2264,0.195,0.00983
URI,0.3,0.147,0.0988,0.1448,0.3094,0.0
V,0.2962,0.1516,0.1112,0.1498,0.2912,0.0019
VRSK,0.215,0.2012,0.1576,0.215,0.2112,0.00302
WRK,0.2712,0.1686,0.114,0.172,0.2742,0.0
XOM,0.2688,0.1678,0.1176,0.17,0.2758,0.01193
IVV,0.1206,0.2576,0.227,0.267,0.1278,0.01173
IWM,0.2192,0.2038,0.153,0.195,0.229,0.00239
EWU,0.1078,0.2694,0.2548,0.259,0.109,0.01549
EWG,0.1156,0.2644,0.2368,0.275,0.1082,0.00512
EWL,0.0944,0.2832,0.2518,0.278,0.0926,0.00825
EWQ,0.129,0.2736,0.205,0.2596,0.1328,0.00531
IEUS,0.1484,0.2526,0.2118,0.2422,0.145,0.00375
EWJ,0.124,0.2596,0.231,0.2612,0.1242,0.01019
EWT,0.1858,0.2318,0.1654,0.2386,0.1784,0.00733
MCHI,0.2626,0.1814,0.119,0.179,0.258,0.01088
INDA,0.1946,0.2222,0.1688,0.2236,0.1908,0.01038
EWY,0.2212,0.2084,0.163,0.1908,0.2166,0.0
EWA,0.1718,0.2306,0.1926,0.2388,0.1662,0.00504
EWH,0.1212,0.2696,0.2298,0.2668,0.1126,0.01798
EWZ,0.2938,0.1556,0.1144,0.1594,0.2768,0.0
EWC,0.148,0.2488,0.21,0.2426,0.1506,0.00746
IEMG,0.1564,0.2398,0.2044,0.25,0.1494,0.00983
LQD,0.0034,0.249,0.5026,0.2426,0.0024,0.03938
HYG,0.0,0.1646,0.6862,0.1492,0.0,0.04435
SHY,0.0,0.0,0.9998,0.0002,0.0,0.05531
IEF,0.0008,0.226,0.5582,0.2144,0.0006,0.04548
TLT,0.1204,0.2656,0.2306,0.2718,0.1116,0.03145
